region	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Даванков Владислав Андреевич	Даванков Владислав Андреевич (%)	Путин Владимир Владимирович	Путин Владимир Владимирович (%)	Слуцкий Леонид Эдуардович	Слуцкий Леонид Эдуардович (%)	Харитонов Николай Михайлович	Харитонов Николай Михайлович (%)
Алтайский край	276808	261498	0	261498	0	0	0	260160	0	260160	0	0	14387	5.53	227085	87.29	11039	4.24	7649	2.94
Архангельская область	101728	96629	0	96629	0	0	0	94416	0	94416	0	0	8170	8.65	77667	82.26	5782	6.12	2797	2.96
Белгородская область	164240	156506	0	156506	0	0	0	152175	0	152175	0	0	6226	4.09	138181	90.80	4576	3.01	3192	2.10
Владимирская область	120393	113894	0	113894	0	0	0	111397	0	111397	0	0	6864	6.16	96638	86.75	4907	4.40	2988	2.68
Вологодская область	105463	101439	0	101439	0	0	0	98974	0	98974	0	0	7723	7.80	82708	83.57	5697	5.76	2846	2.88
Воронежская область	193321	182564	0	182564	0	0	0	177885	0	177885	0	0	11970	6.73	153863	86.50	6905	3.88	5147	2.89
Калининградская область	67794	62466	0	62466	0	0	0	61228	0	61228	0	0	4094	6.69	53838	87.93	2048	3.34	1248	2.04
Калужская область	83534	78782	0	78782	0	0	0	77015	0	77015	0	0	4706	6.11	67504	87.65	2842	3.69	1963	2.55
Камчатский край	44042	42021	0	42021	0	0	0	41869	0	41869	0	0	2247	5.37	36730	87.73	1791	4.28	1101	2.63
Курская область	109473	104803	0	104803	0	0	0	102043	0	102043	0	0	4929	4.83	91756	89.92	3253	3.19	2105	2.06
Липецкая область	105060	100522	0	100522	0	0	0	97731	0	97731	0	0	5827	5.96	85061	87.04	3839	3.93	3004	3.07
Московская область	863824	818238	0	818238	0	0	0	798983	0	798983	0	0	48882	6.12	699461	87.54	28244	3.53	22396	2.80
Мурманская область	67795	64367	0	64367	0	0	0	62824	0	62824	0	0	4202	6.69	54815	87.25	2432	3.87	1375	2.19
Ненецкий автономный округ	5005	4727	0	4727	0	0	0	4650	0	4650	0	0	324	6.97	3937	84.67	241	5.18	148	3.18
Нижегородская область	288371	271300	0	271300	0	0	0	266428	0	266428	0	0	17964	6.74	230209	86.41	10751	4.04	7504	2.82
Новгородская область	34782	32608	0	32608	0	0	0	31857	0	31857	0	0	2417	7.59	27153	85.23	1381	4.33	906	2.84
Новосибирская область	245767	230088	0	230088	0	0	0	228584	0	228584	0	0	15656	6.85	199724	87.37	7653	3.35	5551	2.43
Пермский край	197038	183791	0	183791	0	0	0	182177	0	182177	0	0	14854	8.15	154404	84.75	8576	4.71	4343	2.38
Псковская область	77998	73786	0	73786	0	0	0	72037	0	72037	0	0	4836	6.71	61751	85.72	3013	4.18	2437	3.38
Республика Карелия	45935	42596	0	42596	0	0	0	41732	0	41732	0	0	3584	8.59	34764	83.30	2279	5.46	1105	2.65
Республика Крым	131508	123049	0	123049	0	0	0	120261	0	120261	0	0	4375	3.64	113323	94.23	1513	1.26	1050	0.87
Ростовская область	390101	360509	0	360509	0	0	0	352455	0	352455	0	0	17077	4.85	317039	89.95	10447	2.96	7892	2.24
Свердловская область	309665	293594	0	293594	0	0	0	290701	0	290701	0	0	22805	7.84	250294	86.10	11066	3.81	6536	2.25
Томская область	90049	84536	0	84536	0	0	0	84053	0	84053	0	0	5893	7.01	73195	87.08	3082	3.67	1883	2.24
Челябинская область	233716	218119	0	218119	0	0	0	216350	0	216350	0	0	15530	7.18	186488	86.20	8964	4.14	5368	2.48
Чувашская Республика - Чувашия	241768	232415	0	232415	0	0	0	225368	0	225368	0	0	11281	5.01	200685	89.05	7174	3.18	6228	2.76
Ярославская область	133111	126926	0	126926	0	0	0	123928	0	123928	0	0	9543	7.70	104973	84.70	5727	4.62	3685	2.97
город Москва	3666413	3666413	0	3666413	0	0	0	3642924	5	3642919	0	0	161924	4.44	3245860	89.10	115260	3.16	119875	3.29
город Севастополь	39704	37338	0	37338	0	0	0	36603	0	36603	0	0	999	2.73	34740	94.91	501	1.37	363	0.99
