region	tik	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Даванков Владислав Андреевич	Даванков Владислав Андреевич (%)	Путин Владимир Владимирович	Путин Владимир Владимирович (%)	Слуцкий Леонид Эдуардович	Слуцкий Леонид Эдуардович (%)	Харитонов Николай Михайлович	Харитонов Николай Михайлович (%)
Алтайский край	Алейская	9835	10560	0	4727	3433	2400	3433	4727	78	8082	0	0	167	2.05	7246	88.80	233	2.86	436	5.34
Алтайский край	Алейская городская	16310	15900	0	5486	2097	8317	2097	5486	139	7444	0	0	259	3.42	6434	84.85	272	3.59	479	6.32
Алтайский край	Алтайская	15726	16800	0	6109	3781	6910	3781	6109	168	9722	0	0	309	3.12	8565	86.60	260	2.63	588	5.95
Алтайский край	Баевская	6166	6700	0	2366	1606	2728	1606	2366	44	3928	0	0	85	2.14	3343	84.16	113	2.84	387	9.74
Алтайский край	Барнаул, Вторая Индустриальная	82655	77400	0	35065	2421	39914	2421	35055	908	36568	0	0	2713	7.24	30572	81.58	1308	3.49	1975	5.27
Алтайский край	Барнаул, Железнодорожная	60746	60000	0	24391	4493	31116	4493	24391	775	28109	0	0	2285	7.91	23066	79.86	1028	3.56	1730	5.99
Алтайский край	Барнаул, Ленинская	87090	85156	0	35662	5272	44222	5272	35657	999	39930	0	0	2417	5.91	33648	82.21	1458	3.56	2407	5.88
Алтайский край	Барнаул, Октябрьская	56072	53600	0	23129	4401	26070	4401	23129	723	26807	0	0	1891	6.87	22445	81.53	899	3.27	1572	5.71
Алтайский край	Барнаул, Первая Индустриальная	77191	76600	0	34301	2694	39605	2694	34297	937	36054	0	0	2673	7.23	30001	81.10	1320	3.57	2060	5.57
Алтайский край	Барнаул, Центральная	87254	91500	0	34855	4468	52177	4468	34852	1080	38240	0	0	2953	7.51	31624	80.43	1341	3.41	2322	5.91
Алтайский край	Белокурихинская городская	11016	10600	0	5414	505	4681	505	5414	216	5703	0	0	320	5.41	4834	81.67	173	2.92	376	6.35
Алтайский край	Бийск, Восточная	64382	62350	0	22627	4315	35408	4315	22626	591	26350	0	0	1277	4.74	22330	82.88	889	3.30	1854	6.88
Алтайский край	Бийск, Приобская	66529	64200	0	27442	2504	34254	2504	27441	705	29240	0	0	1441	4.81	24700	82.48	1020	3.41	2079	6.94
Алтайский край	Бийская	21440	25050	0	9228	3150	12672	3150	9228	218	12160	0	0	334	2.70	10731	86.69	352	2.84	743	6.00
Алтайский край	Благовещенская	17555	18950	0	7233	3014	8703	3014	7233	134	10113	0	0	207	2.02	9134	89.14	265	2.59	507	4.95
Алтайский край	Бурлинская	6186	7200	0	2603	1017	3580	1017	2603	73	3547	0	0	103	2.85	3029	83.67	131	3.62	284	7.85
Алтайский край	Быстроистокская	5492	5650	0	1992	1347	2311	1347	1992	53	3286	0	0	88	2.64	2796	83.74	107	3.20	295	8.83
Алтайский край	Волчихинская	11017	10400	0	4589	1581	4230	1581	4589	101	6069	0	0	150	2.43	5210	84.44	263	4.26	446	7.23
Алтайский край	Егорьевская	8153	9280	0	3149	1096	5035	1096	3149	91	4154	0	0	103	2.43	3470	81.74	157	3.70	424	9.99
Алтайский край	Ельцовская	3611	4200	4	1331	915	1950	919	1331	42	2208	0	0	61	2.71	1892	84.09	86	3.82	169	7.51
Алтайский край	Завьяловская	10990	14000	0	5349	3279	5372	3279	5349	140	8488	0	0	173	2.01	7494	86.86	291	3.37	530	6.14
Алтайский край	Залесовская	8858	9300	0	3294	1600	4406	1600	3294	62	4832	0	0	149	3.04	4112	84.02	187	3.82	384	7.85
Алтайский край	Заринская	9383	10350	0	4063	3105	3182	3105	4063	113	7055	0	0	214	2.99	6184	86.27	303	4.23	354	4.94
Алтайский край	Заринская городская	29066	31600	0	12907	1812	16881	1812	12907	312	14407	0	0	627	4.26	12240	83.16	611	4.15	929	6.31
Алтайский край	Змеиногорская 	12455	12990	0	4843	1344	6803	1344	4842	126	6060	0	0	216	3.49	5174	83.64	211	3.41	459	7.42
Алтайский край	Зональная	12173	12800	0	4152	2869	5779	2869	4151	98	6922	0	0	189	2.69	6117	87.14	226	3.22	390	5.56
Алтайский край	Калманская	9015	9500	0	2557	3228	3715	3228	2557	99	5686	0	0	159	2.75	5015	86.69	216	3.73	296	5.12
Алтайский край	Каменская	30490	29600	0	11343	2238	16019	2238	11342	270	13310	0	0	471	3.47	11508	84.74	382	2.81	949	6.99
Алтайский край	Ключевская	9836	12210	0	3817	2271	6122	2271	3817	75	6013	0	0	133	2.18	5373	88.26	133	2.18	374	6.14
Алтайский край	Косихинская	10739	13216	0	3408	2766	7042	2766	3408	108	6066	0	0	176	2.85	5361	86.83	175	2.83	354	5.73
Алтайский край	Красногорская	9684	9500	0	4212	1510	3778	1510	4212	107	5615	0	0	167	2.92	4897	85.58	200	3.50	351	6.13
Алтайский край	Краснощековская	10717	10750	19	4705	3388	2638	3407	4704	120	7991	0	0	145	1.79	7176	88.47	171	2.11	499	6.15
Алтайский край	Крутихинская	6316	7800	0	2233	1876	3691	1876	2233	57	4052	0	0	135	3.29	3611	87.88	124	3.02	182	4.43
Алтайский край	Кулундинская	12503	14130	0	5957	4029	4144	4029	5957	134	9852	0	0	213	2.13	8895	89.07	296	2.96	448	4.49
Алтайский край	Курьинская	6324	7700	0	2490	1469	3741	1469	2490	59	3900	0	0	96	2.42	3362	84.92	142	3.59	300	7.58
